,experimentId,number of concurrent batches,scheduling duration in seconds,processing duration in seconds,transfer method,states
0,5e43030698852ac63e643e19,10,2.0076608657836914,119.47331619262695,sftp,succeeded
1,5e43030698852ac63e643e19,10,1.9625492095947266,124.72988033294678,sftp,succeeded
2,5e43030698852ac63e643e19,10,1.8507766723632812,120.53857660293579,sftp,succeeded
3,5e43030698852ac63e643e19,10,1.8102960586547852,123.37366199493408,sftp,succeeded
4,5e43030698852ac63e643e19,10,1.7860713005065918,120.56992030143738,sftp,succeeded
5,5e43030698852ac63e643e19,10,1.9219200611114502,109.14123725891113,sftp,succeeded
6,5e43030698852ac63e643e19,10,1.7953925132751465,135.94830203056335,sftp,succeeded
7,5e43030698852ac63e643e19,10,1.8928229808807373,137.4804265499115,sftp,succeeded
8,5e43030698852ac63e643e19,10,1.7861945629119873,119.43158555030823,sftp,succeeded
9,5e43030698852ac63e643e19,10,1.7661068439483643,112.68670296669006,sftp,succeeded
10,5e43030698852ac63e643e19,10,1.8181941509246826,115.98420143127441,sftp,succeeded
11,5e43030698852ac63e643e19,10,1.7186732292175293,122.64738416671753,sftp,succeeded
12,5e43030698852ac63e643e19,10,1.8520140647888184,124.71571969985962,sftp,succeeded
13,5e43030698852ac63e643e19,10,1.7872796058654785,118.33167123794556,sftp,succeeded
14,5e43030698852ac63e643e19,10,1.747410535812378,120.50930714607239,sftp,succeeded
15,5e43030698852ac63e643e19,10,1.679429292678833,121.9029951095581,sftp,succeeded
16,5e43030698852ac63e643e19,10,1.7774853706359863,129.87181043624878,sftp,succeeded
17,5e43030698852ac63e643e19,10,1.8756215572357178,132.02416157722473,sftp,succeeded
18,5e43030698852ac63e643e19,10,1.7351353168487549,144.11306738853455,sftp,succeeded
19,5e43030698852ac63e643e19,10,1.8572640419006348,134.24591779708862,sftp,succeeded
20,5e43030698852ac63e643e19,10,1.8564016819000244,110.85662937164307,sftp,succeeded
21,5e43030698852ac63e643e19,10,1.722137689590454,106.97981905937195,sftp,succeeded
22,5e43030698852ac63e643e19,10,1.754105567932129,122.54542136192322,sftp,succeeded
23,5e43030698852ac63e643e19,10,1.7691354751586914,126.98763704299927,sftp,succeeded
24,5e43030698852ac63e643e19,10,1.6995909214019775,126.15963888168335,sftp,succeeded
25,5e43030698852ac63e643e19,10,1.7138960361480713,126.10237073898315,sftp,succeeded
26,5e43030698852ac63e643e19,10,1.7467472553253174,119.85794162750244,sftp,succeeded
27,5e43030698852ac63e643e19,10,1.7072715759277344,132.4827048778534,sftp,succeeded
28,5e43030698852ac63e643e19,10,1.7442965507507324,136.11994528770447,sftp,succeeded
29,5e43030698852ac63e643e19,10,1.6645607948303223,145.1288390159607,sftp,succeeded
30,5e43030698852ac63e643e19,10,1.7218830585479736,107.56384468078613,sftp,succeeded
31,5e43030698852ac63e643e19,10,1.6847808361053467,124.66428065299988,sftp,succeeded
32,5e43030698852ac63e643e19,10,1.6297283172607422,117.25880169868469,sftp,succeeded
33,5e43030698852ac63e643e19,10,1.758056879043579,110.83166122436523,sftp,succeeded
