,number of failures,transfer method,number of concurrent batches,numBatches,failures in %
0,0,sshfs,25,1000,0.0
1,6,sftp,20,1000,0.6
2,0,sshfs,10,1000,0.0
3,0,sftp,5,1000,0.0
4,0,sshfs,15,1000,0.0
5,11,sftp,25,1000,1.0999999999999999
6,0,sftp,10,1000,0.0
7,0,sshfs,30,1000,0.0
8,44,sftp,30,1000,4.3999999999999995
9,0,sshfs,5,1000,0.0
10,1,sftp,15,1000,0.1
11,0,sshfs,20,1000,0.0
